rid,tract
W1M1_10000007,51013102901
W1M1_10000009,51510200900
W1M1_10000010,51510200302
W1M1_10000011,51013100200
W1M1_10000017,51013101701
W1M1_10000022,51013102400
W1M1_10000026,51510201300
W1M1_10000035,51013101702
W1M1_10000039,51013102902
W1M1_10000042,51013103402
W1M1_10000046,51510200802
W1M1_10000049,51013100400
W1M1_10000052,51510201000
W1M1_10000053,51013101500
W1M1_10000057,51510200201
W1M1_10000058,51013102003
W1M1_10000067,51013100200
W1M1_10000070,51013101000
W1M1_10000088,51013101000
W1M1_10000096,51510200900
W1M1_10000105,51013101702
W1M1_10000108,51013101403
W1M1_10000113,51013101404
W1M1_10000115,51510201000
W1M1_10000146,51510201801
W1M1_10000149,51013103503
W1M1_10000159,51510201500
W1M1_10000163,51510200801
W1M1_10000165,51013101900
W1M1_10000167,51510200702
W1M1_10000182,51013103501
W1M1_10000187,51013100700
W1M1_10000192,51013102902
W1M1_10000200,51013100700
W1M1_10000203,51510200404
W1M1_10000205,51013103402
W1M1_10000207,51013101402
W1M1_10000212,51013101200
W1M1_10000213,51013101601
W1M1_11000008,51013102801
W1M1_11000026,51013103200
W1M1_11000061,51510201203
W1M1_11000062,51013103200
W1M1_11000063,51013102003
W1M1_11000070,51510200600
W1M1_11000083,51013102400
W1M1_11000120,51013102003
W1M1_11000121,51013102003
W1M1_11000163,51013102200
W1M1_11000169,51510201203
W1M1_11000171,51013102600
W1M1_11000194,51013101802
W1M1_11000203,51013102600
W1M1_11000205,51013102001
W1M1_11000208,51013102200
W1M1_11000210,51013102003
W1M1_11000212,51510200104
W1M1_11000225,51013102600
W1M1_11000243,51013102400
W1M1_11000246,51013102200
W1M1_11000247,51013102003
W1M1_11000258,51510201203
W1M1_11000260,51013102400
W1M1_11000264,51510201204
W1M1_11000267,51013102400
W1M1_11000286,51013102200
W1M1_11000320,51013101802
W1M1_11000332,51510200302
W1M1_11000351,51510200104
W1M1_11000355,51013102701
W1M1_11000359,51013102600
W1M1_11000365,51013102003
W1M1_11000390,51013102200
W1M1_11000391,51510201203
W1M1_11000425,51510200103
W1M1_11000429,51510200406
W1M1_11000431,51013102302
W1M1_11000432,51013103100
W1M1_11000436,51013102200
W1M1_11000475,51013102200
W1M1_11000476,51013102302
W1M1_11000486,51013102003
W1M1_11000490,51013102001
W1M1_12000004,51510200600
W1M1_12000009,51510200107
W1M1_12000014,51510201802
W1M1_12000016,51510200405
W1M1_12000032,51510200405
W1M1_12000088,51510200500
W1M1_12000089,51510200406
W1M1_12000124,51510200407
W1M1_12000131,51510200301
W1M1_12000139,51013103800
W1M1_12000143,51510200303
W1M1_12000150,51510200600
W1M1_12000159,51510200105
W1M1_12000160,51510200303
W1M1_12000164,51510201600
W1M1_12000174,51510200301
W1M1_12000177,51510200407
W1M1_12000189,51013102801
W1M1_12000195,51510200105
W1M1_12000197,51510200406
W1M1_12000219,51510200303
W1M1_12000232,51510201600
W1M1_12000290,51510200600
W1M1_12000293,51510200407
W1M1_12000308,51510200500
W1M1_12000310,51510200600
W1M1_12000325,51510200105
W1M1_12000346,51510200600
W1M1_12000356,51510200500
W1M1_12000360,51510200407
W1M1_12000370,51510200406
W1M1_12000383,51013103502
W1M1_12000384,51510200301
W1M1_12000395,51510200105
W1M1_12000398,51510200107
W1M1_12000403,51013103100
W1M1_12000412,51510200405
W1M1_12000475,51510200407
W1M1_12000491,51510200406
W1M1_12000494,51510200802
W1M1_12000498,51510200407
W1M1_12000523,51510201801
W1M1_12000556,51013103402
W1M1_12000561,51013103300
W1M1_12000565,51510200406
W1M1_12000567,51510200405
W1M1_12000584,51510200405
W1M1_12000588,51510201802
W1M1_12000590,51510200600
